"2017-06-22","上虞春开贸易有限公司","330682000017777","3306820000109534","39CC5EA7E7E614B70EC2C729DF8ECA73B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴凯丰空调工程有限公司","330682000017785","3306820000109536","92974C49CE23889F263B2ED3755C744BB08685D23A98ADDAD07DF06B5581D85C","913306046725588320"
"2017-06-22","绍兴上虞茗泉茶庄","330682000017793","3306820000095181","17E5E21711864F61E994B85606F9DDC0B08685D23A98ADDAD07DF06B5581D85C","91330604777223406R"
"2017-06-22","绍兴上虞曼帛龙塑业有限公司","330682000017808","3306820000102957","D752C85610E0BCA13B9BDB2419AA0B56B08685D23A98ADDAD07DF06B5581D85C","9133060479438878X1"
"2017-06-22","上虞市毛毛化工有限公司","330682000017816","3306820000084006","658650DFD658B2104DAAF2ECBF82C097B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞宝利来实业有限公司","330682000017824","3306820000104623","B57FDEDCD6274A1A93631ACA30E6D98EB08685D23A98ADDAD07DF06B5581D85C","91330604799620621W"
"2017-06-22","绍兴上虞城北市场开发有限公司","330682000017832","3306820000097322","4B00069DA525EE1325828F18B809176BB08685D23A98ADDAD07DF06B5581D85C","9133060478181468XG"
"2017-06-22","绍兴市上虞区惠明冲件厂","330682000017849","3306820000080416","2C3700122AF8A717BED981D68D23F5F9B08685D23A98ADDAD07DF06B5581D85C","91330604728897797M"
"2017-06-22","绍兴市上虞区谢塘镇新金旺五金厂","330682000017857","3306820000109543","C8ADFA6FDB01EE9FE22B613200545E6FB08685D23A98ADDAD07DF06B5581D85C","91330604672582306Q"
"2017-06-22","绍兴市上虞区青立塑胶厂","330682000017865","3306820000053131","9A60559C1BE4B2CAEA846ED011E72170B08685D23A98ADDAD07DF06B5581D85C","913306047125827312"
"2017-06-22","绍兴上虞科迪照明电器有限公司","330682000017873","3306820000083078","BB9DF7687383A6F343788BB45ADE9386B08685D23A98ADDAD07DF06B5581D85C","91330604743466987C"
"2017-06-22","绍兴市精益生物化工有限公司","330682000017881","3306823000000906","F8CB302D76F5726A6614E76E568A67D3B08685D23A98ADDAD07DF06B5581D85C","91330604741037265M"
"2017-06-22","上虞市元和印务有限公司","330682000017890","3306820000088810","A73ECBDE8C5660C0A6EDA24A67902B26B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市通利进出口有限公司","330682000017904","3306820000109546","8E2A1EF18A910C8F0CE47B3304AFE0E6B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴上虞汉思电子有限公司","330682000017912","3306820000080836","2BD368C60F0911EB3F458154C0EC57EEB08685D23A98ADDAD07DF06B5581D85C","91330604735255135R"
"2017-06-22","上虞市娥江副食品综合批发部","330682000017929","3306820000101049","2B472A44A720B7BA628DDBFBE01654D7B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市五车堰纸箱厂","330682000017937","3306824000001829","86E24084022D78CA99FF5A6A3FDA215EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市晨昊化工有限公司","330682000017945","3306820000109547","04512759708DFAB150E3D9F9234EB58AB08685D23A98ADDAD07DF06B5581D85C","91330604672563893W"
"2017-06-22","绍兴市上虞永泰国际货运代理有限公司","330682000017953","3306820000053338","FA629BED0CCA9007C21A2A160806E31DB08685D23A98ADDAD07DF06B5581D85C","91330604712582838D"
"2017-06-22","上虞鸿泽贸易有限公司","330682000017961","3306820000109560","CE4238D2CA163991A4960C3C340384AFB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴永宇机械有限公司","330682000017970","3306820000093724","9CBE64128DEB417C8DFDAEEF5924EF51B08685D23A98ADDAD07DF06B5581D85C","91330604771930134L"
"2017-06-22","绍兴上虞广知装饰装潢有限公司","330682000017988","3306820000109562","8F87AE85FE14762B5169A1134EA4E39EB08685D23A98ADDAD07DF06B5581D85C","913306046725639228"
"2017-06-22","浙江虞福环境建设有限公司","330682000017996","3306820000088954","5283F8186DDE859524837AF5D4B27C93B08685D23A98ADDAD07DF06B5581D85C","913306047601668632"
"2017-06-22","上虞市东关何氏广告部恒利分部","330682000018000","3306820000109571","D0F64CFEEFEA045C6102F551AA8C9CE5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区伊林斯国道公路经营有限公司","330682000018018","3306820000109573","7C18BE73B14CB8A972DB6099F4AB4591B08685D23A98ADDAD07DF06B5581D85C","91330604672574525R"
"2017-06-22","绍兴上虞鑫吉园艺工具有限公司","330682000018026","3306820000097331","66293950A1C323B667C78420CE3F1FA5B08685D23A98ADDAD07DF06B5581D85C","91330604781814671Q"
"2017-06-22","上虞宏之飞传动设备有限公司","330682000018034","3306820000109576","ADBB36D09BE313F719424310FBBBE4FDB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区恒利净化设备有限公司","330682000018042","3306820000051400","820EB984A12055814C9EAD403E7ED5BAB08685D23A98ADDAD07DF06B5581D85C","913306047125814053"
"2017-06-22","绍兴上虞山河绿化园艺有限公司","330682000018059","3306820000109580","A258AF740C8A117CDEC9997C08B6BD7EB08685D23A98ADDAD07DF06B5581D85C","91330604672566883H"
"2017-06-22","绍兴市上虞特种化工有限公司","330682000018067","3306821000000191","F04B0E0757F581780D19B633B17E2D55B08685D23A98ADDAD07DF06B5581D85C","9133060414618181XM"
"2017-06-22","绍兴上虞吉丰针织有限公司","330682000018075","3306820000109585","283AD02661AE4DD6E4A6924800C7614FB08685D23A98ADDAD07DF06B5581D85C","91330604672567077N"
"2017-06-22","绍兴宏鑫网络科技有限公司","330682000018083","3306820000083897","0FE5EB5096BF6863CBB8B1976C0577A7B08685D23A98ADDAD07DF06B5581D85C","91330604747021555P"
"2017-06-22","绍兴市宇航塑业包装有限公司","330682000018091","3306820000102952","0259B0CD5290F604249FAB8D87AA56D5B08685D23A98ADDAD07DF06B5581D85C","913306047943836987"
"2017-06-22","浙江华阳焊料有限公司","330682000018106","3306820000109593","52DF667E1047989F7D36CE1E2EFA787BB08685D23A98ADDAD07DF06B5581D85C","91330604672566381Y"
"2017-06-22","上虞市佳利电子有限公司","330682000018114","3306820000109595","B8CAF95B9D354A085399F90F4563BA42B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞化纤有限责任公司","330682000018122","3306821000000199","9B9A3FE0B6CD2D5C59ED5B809A8013DAB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区霞齐矿业有限公司","330682000018139","3306820000109601","3FAAB0563E13C008E32636CD8D56400BB08685D23A98ADDAD07DF06B5581D85C","91330604672567376L"
"2017-06-22","绍兴市上虞友邦手套厂","330682000018155","3306820000080094","9B828E5899CC0AE40C6D2AA52FB33E91B08685D23A98ADDAD07DF06B5581D85C","91330604721008125P"
"2017-06-22","绍兴市上虞富强生态农业有限公司","330682000018163","3306820000098745","05DE3A6B55BA70818072F98B335B9A3FB08685D23A98ADDAD07DF06B5581D85C","913306047856631293"
"2017-06-22","上虞市宏豪投资咨询有限公司","330682000018171","3306820000109610","C99CF287C62E70DD5EBC54CB8537847CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区汤浦新发服装压花厂","330682000018180","3306820000109611","A1E15B8DC3EAAB6AC195777355703617B08685D23A98ADDAD07DF06B5581D85C","91330604673855484W"
"2017-06-22","上虞汇通快递有限公司","330682000018198","3306820000109612","70FE2B133858A6C0472B06E352E2E904B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞丰惠宏大摄影器材厂","330682000018202","3306820000109613","88F872E249BABE5AA2401CCFC3A1C35AB08685D23A98ADDAD07DF06B5581D85C","91330604673877341P"
"2017-06-22","上虞市雪莱特电器有限公司","330682000018219","3306820000109614","93BAE2D417A4D198DF179ADD055A7AC0B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞锐泽光电有限公司","330682000018227","3306820000081161","475C1A3EF89BA6E9343F86CB8BC7CB83B08685D23A98ADDAD07DF06B5581D85C","9133060473686387XY"
"2017-06-22","绍兴市上虞染友化工有限公司","330682000018235","3306820000109616","9167E0E90E23809D318117380F4CC3D3B08685D23A98ADDAD07DF06B5581D85C","91330604672574656M"
"2017-06-22","绍兴上虞亿欣球业有限公司","330682000018243","3306820000109626","CD1AEBB083A2F34D57B68BB58B974516B08685D23A98ADDAD07DF06B5581D85C","91330604672570954K"
"2017-06-22","绍兴市荣源包装制品有限公司","330682000018251","3306820000109628","E91353F05BB6D476020BD88A5736732DB08685D23A98ADDAD07DF06B5581D85C","913306046725745094"
"2017-06-22","上虞市金马五金厂","330682000018260","3306820000109629","5591B0FE793DDE428EBDEA0E838ECA5EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞顺发汽车租赁有限公司","330682000018278","3306820000109631","64FB683C8AFA1A5F4300A4780238E339B08685D23A98ADDAD07DF06B5581D85C","913306046725762130"
"2017-06-22","绍兴上虞美通通风空调设备工程有限公司","330682000018286","3306820000109635","76575B6D79FF86AE440316E0FF9315D8B08685D23A98ADDAD07DF06B5581D85C","913306046725715430"
"2017-06-22","上虞市美丽影印刷材料有限公司","330682000018294","3306820000109638","52A19EE7AB88062BACDDC7C54A3BB5BDB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江逻森风机有限公司","330682000018309","3306820000109639","19E76FE6798591BCB3F45CF1A2FFAAB6B08685D23A98ADDAD07DF06B5581D85C","91330604672571519F"
"2017-06-22","绍兴市帝雅啄木鸟制衣有限公司","330682000018317","3306820000081183","DA529891A24693759AB2322E8E5BE649B08685D23A98ADDAD07DF06B5581D85C","91330604146119485F"
"2017-06-22","绍兴市上虞永顺铜材有限公司","330682000018325","3306820000109643","206F388B6755B822EBD1E99E31B60C5DB08685D23A98ADDAD07DF06B5581D85C","91330604672574584W"
"2017-06-22","上虞市华诚蜡业有限公司","330682000018333","3306820000101564","2C81DD72977209DF0EAF7949957F6E81B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区永和镇诚信塑料制品厂","330682000018341","3306820000109648","D275A8E154CB3DCBE7134FF119054ADDB08685D23A98ADDAD07DF06B5581D85C","91330604672582314K"
"2017-06-22","浙江舜力电机有限公司","330682000018350","3306820000109650","933D2A58C65FD9A4D769CA976E90579EB08685D23A98ADDAD07DF06B5581D85C","91330604672576280X"
"2017-06-22","绍兴中贸进出口有限公司","330682000018368","3306820000109652","C7392B34BB5B8F6C26854F7A76AEB73FB08685D23A98ADDAD07DF06B5581D85C","91330604672572351N"
"2017-06-22","绍兴市上虞谢塘加油站有限公司","330682000018376","3306820000097496","DB958305EB719919128A181E86FA222AB08685D23A98ADDAD07DF06B5581D85C","91330604781835747L"
"2017-06-22","浙江玛璐尼线性传动技术有限公司","330682000018384","3306820000109654","0BB6E92D5984F6E54F7099812B1F9834B08685D23A98ADDAD07DF06B5581D85C",""
