"2017-06-22","绍兴上虞恒丰光电实业有限公司","330682000014009","3306823000000322","4FD9021DABB235112750B266C87E739AB08685D23A98ADDAD07DF06B5581D85C","9133060472912557XU"
"2017-06-22","绍兴市上虞凯浩化纤有限公司","330682000014017","3306820000065234","940DDF7277273C24E5458C0F617B92E0B08685D23A98ADDAD07DF06B5581D85C","91330604146171398Q"
"2017-06-22","中化蓝天氟材料有限公司","330682000014025","3306820000108736","C98C3AC031079190FBCAC98A2A67F6E3B08685D23A98ADDAD07DF06B5581D85C","913306046702775512"
"2017-06-22","浙江迪森园林工程有限公司","330682000014033","3306820000089572","63D40AC20854BE3A473D704267349453B08685D23A98ADDAD07DF06B5581D85C","913306047613188068"
"2017-06-22","上虞正福菇业有限公司","330682000014050","3306820000108746","070549B5CFCBEA7647605116AC481E28B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市英台故里现代农业有限公司","330682000014068","3306820000099207","D30D0EFB0E9E857B5FBE8C60F632282DB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","浙江上虞农村商业银行股份有限公司百官支行后郭分理处","330682000014084","3306820000067562","609AADC01DDA17146AAB93039DA98440B08685D23A98ADDAD07DF06B5581D85C","913306047679876806"
"2017-06-22","绍兴市上虞万通电力工程有限公司","330682000014092","3306820000108751","FDF0BE1D7EF827F819D809FE7F264034B08685D23A98ADDAD07DF06B5581D85C","91330604670277578R"
"2017-06-22","上虞市方桥五金厂","330682000014105","3306820000108754","500AE2BD6829D52DE9CA9F34656256FBB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市大虞铝塑门窗有限公司","330682000014113","3306820000103954","EFB3441CF2E3F26A522A10EEF8991D81B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市陈溪舜健服饰厂","330682000014121","3306820000108764","1350F916EF48EDD216C91D3A81F46C47B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞联盟制冷设备厂","330682000014130","3306820000082850","1C015240B9E5500E3E4212CFFF30AF92B08685D23A98ADDAD07DF06B5581D85C","91330604742029152J"
"2017-06-22","上虞市杰科电器有限公司","330682000014148","3306820000099838","2E56C3DF513501116269193A0A87ED90B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市下管镇虞南纸箱厂","330682000014156","3306820000108782","DF3BB71B41BD6582FFA5B9804FE32228B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上海舜杰市政工程有限公司上虞分公司","330682000014164","3306820000108789","3ECA5302E85EAB96EDB54B42DE292D00B08685D23A98ADDAD07DF06B5581D85C","91330604670278378M"
"2017-06-22","上虞蓝枫贸易有限公司","330682000014172","3306820000093020","029010E1B853B609742BD0B62963AEC7B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇永梁灯具厂","330682000014189","3306820000108801","09E3FC965B08D416AF4B7823B9977118B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市伟达电器厂","330682000014197","3306820000108758","ECCA3F60ADF3757947018ACCEDF07BBDB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区永和镇鑫鹏轴承厂","330682000014201","3306820000108760","1054D416BEF7A0AB2E9690C2001D2330B08685D23A98ADDAD07DF06B5581D85C","91330604671627074T"
"2017-06-22","绍兴市上虞跃盛轴承厂","330682000014210","3306820000108761","C1F9312AB08709FC4D32C8240CAA7A97B08685D23A98ADDAD07DF06B5581D85C","91330604671643891K"
"2017-06-22","绍兴市上虞永和镇加法金属制品厂","330682000014228","3306820000108816","EE424170A22795008ABD3B4F2A85EF31B08685D23A98ADDAD07DF06B5581D85C","91330604672597479T"
"2017-06-22","上虞市永和镇方达金属制品厂","330682000014236","3306820000108822","1BF838A37B7938E5A21DD404896A1B0BB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇佳城塑料厂","330682000014244","3306820000108825","1B5FD7B6D3C3B94D8B00291A35A2EC01B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","绍兴市上虞区皇马置业有限公司","330682000014252","3306820000108827","E2A3C06E7A4F3C09C4950D89C972E222B08685D23A98ADDAD07DF06B5581D85C","913306046702784071"
"2017-06-22","绍兴市圣奥电器有限公司","330682000014269","3306820000081146","0156E522D76FFB4E2B94F9175CCC4044B08685D23A98ADDAD07DF06B5581D85C","91330604737763117G"
"2017-06-22","上虞感恩精密金属制品厂","330682000014277","3306820000108846","C1A487BA1BC0A525CDC973C16934972EB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇凯宏灯具厂","330682000014285","3306820000108848","75138366E4545D67EFF9BD026382FC35B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇经纬制线厂","330682000014293","3306820000108852","97BDAB9104081765E30DE708BC3D128FB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇宏业风机配件厂","330682000014308","3306820000108853","47878DD973283FE708AF25C2E4B8E72CB08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇达能纸箱厂","330682000014316","3306820000108855","3434D3D4B3ECEE8D1664D1DC07623488B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永和镇立军塑料厂","330682000014324","3306820000108857","209B0E3E013C8B5214C240F7402F4ED5B08685D23A98ADDAD07DF06B5581D85C",""
"2017-06-22","上虞市永盛房地产咨询评估事务所（有限公司）","330682000014332","3306820000070581","1DB912320A312370E4D0E9DBF33A40D0B08685D23A98ADDAD07DF06B5581D85C",""
