INFO: 2017-06-22 10:14:55,860  330682000017218 : OrderedDict([('name', '绍兴上虞天瑶纺织有限公司'), ('regno', '330682000017218'), ('nocorpid', '3306820000109420'), ('corpid', '043389DF4CAB0391AB4C03E05251B287B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046725512782')])
INFO: 2017-06-22 10:15:05,663  330682000017226 : OrderedDict([('name', '上虞市佳博贸易有限公司'), ('regno', '330682000017226'), ('nocorpid', '3306820000109422'), ('corpid', 'F67C12BAAC8969F14B26C3700E818AECB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:15:15,198  330682000017234 : OrderedDict([('name', '上虞金特照明电器有限公司'), ('regno', '330682000017234'), ('nocorpid', '3306820000104204'), ('corpid', 'E3BB2BE0725958B7BC94F4DF21344E61B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:15:24,722  330682000017242 : OrderedDict([('name', '上虞市海光仪器有限公司'), ('regno', '330682000017242'), ('nocorpid', '3306820000109423'), ('corpid', '596E0AAC329BFB1027EA24213F08FF2AB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:15:43,947  330682000017259 : OrderedDict([('name', '绍兴平安驾驶员培训有限公司'), ('regno', '330682000017259'), ('nocorpid', '3306820000084486'), ('corpid', '681BD284D53ED4932D5CFDA0C569ED6DB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306047511754858')])
INFO: 2017-06-22 10:15:53,490  330682000017267 : OrderedDict([('name', '上虞市欧通贸易有限公司'), ('regno', '330682000017267'), ('nocorpid', '3306820000109424'), ('corpid', '58E4C54ABA9A42D5D1DB0D5C84AB9F70B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 10:16:03,233  330682000017275 : OrderedDict([('name', '浙江鹏翔暖通设备有限公司'), ('regno', '330682000017275'), ('nocorpid', '3306820000104681'), ('corpid', 'F5F5D8573154B16DBFE54073C1F20525B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604799636340X')])
INFO: 2017-06-22 10:16:12,833  330682000017283 : OrderedDict([('name', '绍兴上虞若深贸易有限公司'), ('regno', '330682000017283'), ('nocorpid', '3306820000109444'), ('corpid', '2BF8B8D27C2482CAD5F9B0572A90431CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604672551139B')])
INFO: 2017-06-22 10:16:22,421  330682000017291 : OrderedDict([('name', '绍兴上虞风机销售有限公司'), ('regno', '330682000017291'), ('nocorpid', '3306823000000916'), ('corpid', '2AE3A512425E667E0273E7F16D1294F1B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604712578679W')])
INFO: 2017-06-22 10:16:39,665  330682000017306 : OrderedDict([('name', '上虞春舟金属制品有限公司'), ('regno', '330682000017306'), ('nocorpid', '3306820000109448'), ('corpid', '6907FCF61D91A7A766D6D72060693318B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
