INFO: 2017-06-22 22:01:01,514  330682000046983 : OrderedDict([('name', '浙江上虞农村商业银行股份有限公司沥海支行南汇分理处'), ('regno', '330682000046983'), ('nocorpid', '3306821000002935'), ('corpid', '54DE66886A6274DD4923D788A6451A30B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:01:11,566  330682000046991 : OrderedDict([('name', '浙江上虞农村商业银行股份有限公司沥海支行沥东分理处'), ('regno', '330682000046991'), ('nocorpid', '3306820000083849'), ('corpid', '804232F27BC9FF9785116B208CBF83ACB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:01:31,653  330682000047009 : OrderedDict([('name', '绍兴市上虞区殡仪馆'), ('regno', '330682000047009'), ('nocorpid', '3306820000052952'), ('corpid', 'A04410676858BC0C0273715C16167B02B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604712582627X')])
INFO: 2017-06-22 22:01:41,340  330682000047017 : OrderedDict([('name', '上虞市汤浦金属材料厂'), ('regno', '330682000047017'), ('nocorpid', '3306820000081222'), ('corpid', '4AE0383DF839EDD3057468621F5E2DA0B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:01:50,872  330682000047025 : OrderedDict([('name', '绍兴上虞洲翔工业设备安装有限公司'), ('regno', '330682000047025'), ('nocorpid', '3306820000116722'), ('corpid', 'FDC733CEE00C70A06548B614C76345B7B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046891291290')])
INFO: 2017-06-22 22:02:00,294  330682000047033 : OrderedDict([('name', '上虞市庇亚玺电子有限公司'), ('regno', '330682000047033'), ('nocorpid', '3306820000116684'), ('corpid', '0154738897593416707F3763790A9DF9B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:02:09,783  330682000047041 : OrderedDict([('name', '绍兴市上虞建文气动电器有限公司'), ('regno', '330682000047041'), ('nocorpid', '3306820000088346'), ('corpid', 'FC1F1691A5128046C9050754CDFD2E3BB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '9133060475906312X4')])
INFO: 2017-06-22 22:02:20,624  330682000047050 : OrderedDict([('name', '绍兴市上虞区畜禽服务部'), ('regno', '330682000047050'), ('nocorpid', '3306821000001667'), ('corpid', '7CFB2982EBBF94E828EC9E71E81A619BB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604146116786X')])
INFO: 2017-06-22 22:02:40,741  330682000047068 : OrderedDict([('name', '绍兴上虞汇金再生资源有限公司'), ('regno', '330682000047068'), ('nocorpid', '3306820000116736'), ('corpid', 'D4B6570F79F2179032BDBCBD63A111A3B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604689135828F')])
INFO: 2017-06-22 22:02:50,740  330682000047076 : OrderedDict([('name', '上虞市贸信商贸有限公司'), ('regno', '330682000047076'), ('nocorpid', '3306820000116738'), ('corpid', 'CC70361BFE59C06A35550453041979BBB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:03:00,687  330682000047084 : OrderedDict([('name', '上虞九康电器有限公司'), ('regno', '330682000047084'), ('nocorpid', '3306820000116743'), ('corpid', 'D44A440FE7E03314F852F48C1608DE5CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:03:10,421  330682000047092 : OrderedDict([('name', '上虞市鼎胜机械设备制造有限公司'), ('regno', '330682000047092'), ('nocorpid', '3306820000116725'), ('corpid', '1F0F05849873B982C887E046574FF6BDB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:03:25,734  330682000047105 : OrderedDict([('name', '上虞市华信伞业有限公司'), ('regno', '330682000047105'), ('nocorpid', '3306820000081533'), ('corpid', '4E9C2CCABCEE3AC7A58FE08C5D17C9B8B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-22 22:03:36,257  330682000047113 : OrderedDict([('name', '绍兴上虞金盛房屋拆迁有限公司'), ('regno', '330682000047113'), ('nocorpid', '3306820000089243'), ('corpid', '10D5BCF562156550615DF39D5D0D8A27B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604760192105L')])
INFO: 2017-06-22 22:03:46,640  330682000047121 : OrderedDict([('name', '绍兴上虞丰盛制冷设备厂'), ('regno', '330682000047121'), ('nocorpid', '3306820000081683'), ('corpid', '8B43514401D7CB045D983841C0E66AC2B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306047410341520')])
INFO: 2017-06-22 22:03:57,807  330682000047130 : OrderedDict([('name', '绍兴市上虞区风云网吧'), ('regno', '330682000047130'), ('nocorpid', '3306820000084049'), ('corpid', '0881D27A7B747909E65A6DE18190BC70B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306047707155207')])
