INFO: 2017-06-23 17:07:59,266  330682000053716 : OrderedDict([('name', '上虞市海量模具厂'), ('regno', '330682000053716'), ('nocorpid', '3306820000118428'), ('corpid', '16B0D24FD907726B01CCE2A5676F843DB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:08:17,168  330682000053732 : OrderedDict([('name', '绍兴市上虞晨科化工有限公司'), ('regno', '330682000053732'), ('nocorpid', '3306820000118426'), ('corpid', 'E75AC5E006982DC1E62F9EB8EBC1A303B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046936175551')])
INFO: 2017-06-23 17:08:36,151  330682000053749 : OrderedDict([('name', '绍兴上虞知名陶瓷有限公司'), ('regno', '330682000053749'), ('nocorpid', '3306820000050771'), ('corpid', 'EBC334605396B49034ACC7D0DC26461EB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604712580621W')])
INFO: 2017-06-23 17:09:02,557  330682000053773 : OrderedDict([('name', '上虞普华电器有限公司'), ('regno', '330682000053773'), ('nocorpid', '3306820000118393'), ('corpid', '15EF08B23D73AB115457FCED66FC592BB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:09:21,565  330682000053790 : OrderedDict([('name', '绍兴市上虞区百官城北一号网络会所'), ('regno', '330682000053790'), ('nocorpid', '3306820000101782'), ('corpid', 'E9E57F2BD07D333EC399716702FE2977B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604092344424L')])
INFO: 2017-06-23 17:09:37,414  330682000053804 : OrderedDict([('name', '绍兴上虞新煌冷冻制品加工厂（普通合伙）'), ('regno', '330682000053804'), ('nocorpid', '3306820000118442'), ('corpid', 'EF593CE07301BDB1AC303F3FFE1B3E33B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604693620076Y')])
INFO: 2017-06-23 17:09:46,846  330682000053812 : OrderedDict([('name', '上虞市远洋国际货运代理有限公司'), ('regno', '330682000053812'), ('nocorpid', '3306820000118444'), ('corpid', '278C552FA59A3602543DFF35AB9309B0B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:10:05,821  330682000053829 : OrderedDict([('name', '浙江三维建设实业有限公司'), ('regno', '330682000053829'), ('nocorpid', '3306820000067433'), ('corpid', '54CF54B21F5245F88464995CC3464040B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '9133060414612791X8')])
INFO: 2017-06-23 17:10:15,260  330682000053837 : OrderedDict([('name', '上虞新起点建设项目管理有限公司'), ('regno', '330682000053837'), ('nocorpid', '3306820000118452'), ('corpid', 'BB6A0E2297C8ED0BC182960B0BFFEDC8B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:10:24,724  330682000053845 : OrderedDict([('name', '绍兴市东达汽车销售服务有限公司'), ('regno', '330682000053845'), ('nocorpid', '3306820000118455'), ('corpid', 'F7B8A428344B399238A52A7A5A5293ECB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '913306046936201990')])
INFO: 2017-06-23 17:10:34,210  330682000053853 : OrderedDict([('name', '绍兴上虞宏道化工有限责任公司'), ('regno', '330682000053853'), ('nocorpid', '3306820000118451'), ('corpid', '4AD04309733312F47B2ED2EFA43406E0B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '9133060469362072XQ')])
INFO: 2017-06-23 17:10:43,640  330682000053861 : OrderedDict([('name', '上虞市虞恒贸易有限公司'), ('regno', '330682000053861'), ('nocorpid', '3306820000118454'), ('corpid', '1ACE94CFF5F703EB8B056A57A65AA03CB08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', None)])
INFO: 2017-06-23 17:10:54,193  330682000053870 : OrderedDict([('name', '绍兴海盛航运有限公司'), ('regno', '330682000053870'), ('nocorpid', '3306820000118449'), ('corpid', '25E69195C2E461D0B3337581FA230418B08685D23A98ADDAD07DF06B5581D85C'), ('entUnscId', '91330604693617918W')])
